                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.0789,                0.54716,                0.99087,                0.84284,                0.71637,                0.78247,                0.48305,                 1.2329,                0.56826,                  1.047,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0743,                0.54541,                0.98651,                 0.8391,                0.71701,                0.78138,                0.48364,                 1.2327,                0.56777,                 1.0468,                0.00505,                0.00505,                0.00505
                    102,                 1.0758,                0.54331,                0.98993,                 0.8355,                0.71961,                 0.7815,                0.48449,                 1.2323,                0.56744,                 1.0465,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0784,                 0.5475,                0.99388,                0.83023,                 0.7266,                0.78227,                0.48526,                 1.2317,                0.56681,                 1.0466,               0.004951,               0.004951,               0.004951
                    104,                 1.0706,                0.54245,                0.98705,                0.83793,                0.71951,                0.78215,                0.48482,                 1.2311,                0.56668,                 1.0466,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0706,                0.53952,                0.98653,                0.85041,                0.71009,                0.78208,                0.48503,                 1.2304,                0.56687,                 1.0465,               0.004852,               0.004852,               0.004852
                    106,                 1.0646,                0.53803,                0.98762,                0.85166,                0.71012,                0.78223,                0.48493,                 1.2297,                0.56641,                 1.0466,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0611,                0.53702,                0.98602,                0.85392,                 0.7093,                0.78267,                0.48509,                 1.2299,                0.56632,                 1.0466,               0.004753,               0.004753,               0.004753
                    108,                 1.0591,                0.53653,                0.98407,                0.85815,                0.70739,                0.78368,                0.48571,                 1.2294,                0.56567,                 1.0464,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0544,                0.53471,                  0.983,                0.85078,                0.71225,                0.78325,                0.48567,                 1.2294,                0.56555,                 1.0464,               0.004654,               0.004654,               0.004654
                    110,                 1.0521,                0.53056,                0.98008,                0.85586,                0.71093,                 0.7848,                0.48676,                 1.2289,                0.56482,                 1.0462,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0492,                0.52873,                0.98075,                0.85592,                 0.7105,                0.78555,                0.48751,                 1.2286,                0.56457,                 1.0463,               0.004555,               0.004555,               0.004555
                    112,                 1.0523,                0.52883,                0.97977,                0.85717,                0.70899,                0.78601,                0.48761,                 1.2282,                0.56425,                 1.0462,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0453,                0.52719,                0.98236,                0.85622,                0.71024,                0.78706,                0.48782,                 1.2281,                0.56375,                 1.0461,               0.004456,               0.004456,               0.004456
                    114,                 1.0467,                0.52925,                0.97927,                0.85672,                0.70992,                0.78671,                0.48788,                 1.2277,                0.56323,                  1.046,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0411,                0.52387,                0.97628,                0.85329,                0.71196,                0.78656,                0.48815,                 1.2273,                0.56258,                 1.0459,               0.004357,               0.004357,               0.004357
                    116,                 1.0357,                0.52338,                 0.9751,                0.85436,                0.71305,                0.78621,                0.48848,                 1.2269,                0.56203,                  1.046,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0346,                0.51944,                0.97325,                0.85194,                0.71535,                 0.7855,                0.48833,                 1.2267,                0.56166,                  1.046,               0.004258,               0.004258,               0.004258
                    118,                 1.0336,                0.52043,                0.97494,                0.85299,                0.71536,                0.78569,                0.48875,                 1.2262,                0.56119,                 1.0458,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0332,                0.51888,                0.97281,                 0.8535,                0.71608,                0.78611,                0.48944,                 1.2256,                0.56105,                 1.0458,               0.004159,               0.004159,               0.004159
                    120,                 1.0278,                 0.5168,                0.97471,                0.85263,                0.71624,                0.78638,                0.48918,                 1.2252,                0.56076,                 1.0457,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0303,                0.51703,                0.97468,                0.85364,                0.71728,                0.78767,                0.48954,                 1.2251,                0.56063,                 1.0457,                0.00406,                0.00406,                0.00406
                    122,                 1.0278,                0.51682,                0.97453,                0.85132,                0.71902,                0.78766,                0.48959,                 1.2246,                0.56047,                 1.0457,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0206,                0.51456,                0.97265,                0.85387,                0.71852,                0.78784,                0.48954,                 1.2247,                0.56033,                 1.0458,               0.003961,               0.003961,               0.003961
                    124,                 1.0199,                0.51221,                0.96971,                0.85394,                0.71773,                0.78743,                0.48954,                 1.2242,                0.56011,                 1.0456,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0152,                0.51368,                  0.966,                0.85404,                 0.7165,                0.78777,                0.48933,                 1.2241,                0.55994,                 1.0456,               0.003862,               0.003862,               0.003862
                    126,                 1.0145,                0.50754,                0.96923,                0.85375,                0.71682,                0.78803,                0.48983,                 1.2237,                0.55938,                 1.0455,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0102,                0.50578,                0.96144,                 0.8543,                0.71612,                0.78822,                0.49019,                 1.2237,                0.55926,                 1.0454,               0.003763,               0.003763,               0.003763
                    128,                 1.0035,                0.50161,                0.96161,                0.85161,                0.71746,                0.78878,                 0.4902,                 1.2234,                0.55912,                 1.0452,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0079,                0.50594,                0.96429,                0.85111,                0.71601,                0.78773,                0.49032,                 1.2232,                 0.5588,                 1.0451,               0.003664,               0.003664,               0.003664
                    130,                 1.0053,                0.50354,                0.96194,                0.84956,                0.71676,                0.78766,                0.49116,                 1.2229,                0.55861,                  1.045,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0046,                0.50303,                0.96135,                 0.8491,                0.71785,                0.78791,                0.49134,                 1.2227,                0.55831,                 1.0449,               0.003565,               0.003565,               0.003565
                    132,                0.99717,                0.49942,                0.95799,                0.85032,                0.71734,                0.78816,                0.49175,                 1.2227,                0.55793,                 1.0449,              0.0035155,              0.0035155,              0.0035155
                    133,                0.99689,                0.49843,                0.96145,                 0.8504,                0.71793,                0.78824,                0.49187,                 1.2226,                0.55765,                 1.0448,               0.003466,               0.003466,               0.003466
                    134,                0.98939,                0.49665,                0.96134,                0.85072,                0.71877,                0.78736,                0.49182,                 1.2222,                0.55762,                 1.0448,              0.0034165,              0.0034165,              0.0034165
